"Time","Date","---","Sensor Name","Data"
"12:30:47","7/11/17","DATA","PRESSURE_S:","-1.80"
"12:30:49","7/11/17","DATA","PRESSURE_S:","-1.50"
"12:30:51","7/11/17","DATA","PRESSURE_S:","-1.00"
"12:30:53","7/11/17","DATA","PRESSURE_S:","-1.60"
"12:30:55","7/11/17","DATA","PRESSURE_S:","-1.60"
"12:30:57","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:30:59","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:31:01","7/11/17","DATA","PRESSURE_S:","-1.10"
"12:31:03","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:31:05","7/11/17","DATA","PRESSURE_S:","-1.40"
"12:31:07","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:31:09","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:31:11","7/11/17","DATA","PRESSURE_S:","-1.80"
"12:31:13","7/11/17","DATA","PRESSURE_S:","-1.50"
"12:31:15","7/11/17","DATA","PRESSURE_S:","-1.50"
"12:31:17","7/11/17","DATA","PRESSURE_S:","-1.30"
"12:31:19","7/11/17","DATA","PRESSURE_S:","-1.60"
"12:31:21","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:31:23","7/11/17","DATA","PRESSURE_S:","-1.30"
"12:31:25","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:31:27","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:31:29","7/11/17","DATA","PRESSURE_S:","-1.40"
"12:31:31","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:31:33","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:31:35","7/11/17","DATA","PRESSURE_S:","-2.60"
"12:31:37","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:31:39","7/11/17","DATA","PRESSURE_S:","-2.60"
"12:31:41","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:31:43","7/11/17","DATA","PRESSURE_S:","-1.80"
"12:31:45","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:31:47","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:31:49","7/11/17","DATA","PRESSURE_S:","-2.40"
"12:31:51","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:31:53","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:31:55","7/11/17","DATA","PRESSURE_S:","-2.70"
"12:31:57","7/11/17","DATA","PRESSURE_S:","-2.20"
